POSTCODE,ConfirmedCaseCategory,ConfirmedCaseCount
85003,Greater Than 1000,1534
85004,501-1000,969
85006,Greater Than 1000,3272
85007,Greater Than 1000,2424
85008,Greater Than 1000,9079
85009,Greater Than 1000,8606
85012,Greater Than 1000,1143
85013,Greater Than 1000,2826
85014,Greater Than 1000,3358
85015,Greater Than 1000,5339
85016,Greater Than 1000,4858
85017,Greater Than 1000,5785
85018,Greater Than 1000,4084
85019,Greater Than 1000,4140
85020,Greater Than 1000,3878
85021,Greater Than 1000,5236
85022,Greater Than 1000,4715
85023,Greater Than 1000,3414
85024,Greater Than 1000,2341
85027,Greater Than 1000,4061
85028,Greater Than 1000,1679
85029,Greater Than 1000,5396
85031,Greater Than 1000,5253
85032,Greater Than 1000,7169
85033,Greater Than 1000,9252
85034,Greater Than 1000,1271
85035,Greater Than 1000,8340
85037,Greater Than 1000,8130
85040,Greater Than 1000,4763
85041,Greater Than 1000,9672
85042,Greater Than 1000,6131
85043,Greater Than 1000,5696
85044,Greater Than 1000,3785
85045,501-1000,710
85048,Greater Than 1000,3289
85050,Greater Than 1000,2914
85051,Greater Than 1000,5705
85053,Greater Than 1000,3153
85054,501-1000,753
85083,Greater Than 1000,2476
85085,Greater Than 1000,2674
85086,Greater Than 1000,4025
85087,501-1000,868
85118,Greater Than 1000,1384
85119,Greater Than 1000,2049
85120,Greater Than 1000,3275
85121,0,0
85121 Tribal,Data Suppressed,Data Suppressed
85122,Greater Than 1000,7917
85123,Greater Than 1000,1122
85128,Greater Than 1000,2291
85131,Greater Than 1000,3892
85132,Greater Than 1000,6449
85135,11-100,53
85137,101-500,160
85138,Greater Than 1000,5225
85139,Greater Than 1000,1982
85140,Greater Than 1000,4650
85141,11-100,71
85142,Greater Than 1000,8455
85143,Greater Than 1000,4299
85145,101-500,194
85147,0,0
85147 Tribal,Data Suppressed,Data Suppressed
85172,101-500,268
85173,101-500,311
85190,0,0
85191,11-100,33
85192,101-500,153
85193,101-500,499
85194,501-1000,774
85201,Greater Than 1000,6358
85202,Greater Than 1000,9845
85203,Greater Than 1000,4739
85204,Greater Than 1000,8708
85205,Greater Than 1000,4337
85206,Greater Than 1000,5295
85207,Greater Than 1000,4925
85208,Greater Than 1000,3940
85209,Greater Than 1000,4870
85210,Greater Than 1000,5191
85212,Greater Than 1000,4851
85213,Greater Than 1000,3707
85215,Greater Than 1000,1717
85224,Greater Than 1000,5376
85225,Greater Than 1000,9440
85226,Greater Than 1000,3986
85233,Greater Than 1000,4397
85234,Greater Than 1000,5880
85248,Greater Than 1000,3318
85249,Greater Than 1000,4425
85250,Greater Than 1000,1552
85251,Greater Than 1000,5460
85253,Greater Than 1000,1674
85254,Greater Than 1000,4189
85255,Greater Than 1000,5107
85256,Greater Than 1000,1277
85257,Greater Than 1000,3717
85258,Greater Than 1000,2343
85259,Greater Than 1000,1762
85260,Greater Than 1000,3990
85262,501-1000,879
85263,101-500,145
85264,101-500,156
85266,501-1000,793
85268,Greater Than 1000,1623
85281,Greater Than 1000,8063
85282,Greater Than 1000,5963
85283,Greater Than 1000,5123
85284,Greater Than 1000,1636
85286,Greater Than 1000,5229
85287,11-100,29
85295,Greater Than 1000,6109
85296,Greater Than 1000,5662
85297,Greater Than 1000,3921
85298,Greater Than 1000,4022
85301,Greater Than 1000,8257
85302,Greater Than 1000,5107
85303,Greater Than 1000,5570
85304,Greater Than 1000,3261
85305,Greater Than 1000,2321
85306,Greater Than 1000,2631
85307,Greater Than 1000,1263
85308,Greater Than 1000,6943
85309,501-1000,707
85310,Greater Than 1000,2073
85320,101-500,111
85321,101-500,385
85322,11-100,85
85323,Greater Than 1000,6713
85324,101-500,186
85325,11-100,11
85326,Greater Than 1000,9673
85328,11-100,40
85329,101-500,300
85331,Greater Than 1000,2492
85332,11-100,48
85333,11-100,63
85334,11-100,38
85335,Greater Than 1000,4644
85336,Greater Than 1000,1238
85337,101-500,264
85338,Greater Than 1000,7382
85339,Greater Than 1000,7005
85340,Greater Than 1000,3786
85341,11-100,18
85342,101-500,109
85343,11-100,28
85344,Greater Than 1000,1334
85344 Tribal,Data Suppressed,Data Suppressed
85345,Greater Than 1000,7940
85346,101-500,204
85347,11-100,37
85348,101-500,200
85349,Greater Than 1000,3688
85350,Greater Than 1000,9843
85351,Greater Than 1000,2272
85352,11-100,36
85353,Greater Than 1000,7433
85354,501-1000,627
85355,Greater Than 1000,1332
85356,101-500,492
85357,1-10,1-10
85360,1-10,1-10
85361,501-1000,552
85362,11-100,24
85363,Greater Than 1000,1158
85364,Greater Than 1000,12717
85365,Greater Than 1000,6903
85367,Greater Than 1000,1939
85373,Greater Than 1000,1567
85374,Greater Than 1000,3795
85375,Greater Than 1000,1847
85377,101-500,242
85378,Greater Than 1000,1104
85379,Greater Than 1000,5501
85381,Greater Than 1000,3115
85382,Greater Than 1000,4335
85383,Greater Than 1000,6949
85387,Greater Than 1000,1608
85388,Greater Than 1000,3223
85390,501-1000,771
85392,Greater Than 1000,5448
85395,Greater Than 1000,3961
85396,Greater Than 1000,3224
85501,Greater Than 1000,1333
85530,0,0
85531,11-100,20
85532,11-100,18
85533,101-500,184
85534,101-500,112
85536,11-100,17
85539,101-500,368
85540,101-500,274
85541,Greater Than 1000,1892
85542,501-1000,659
85542 Tribal,Data Suppressed,Data Suppressed
85543,Greater Than 1000,1135
85544,101-500,197
85545,11-100,21
85546,Greater Than 1000,3155
85550,Greater Than 1000,2331
85550 Tribal,Data Suppressed,Data Suppressed
85552,501-1000,681
85553,101-500,116
85554,11-100,15
85601,11-100,32
85602,501-1000,668
85603,101-500,476
85605,11-100,40
85606,11-100,40
85607,Greater Than 1000,4208
85609,11-100,18
85610,11-100,72
85611,11-100,28
85613,101-500,367
85614,Greater Than 1000,1752
85615,501-1000,545
85616,101-500,296
85617,11-100,41
85618,101-500,188
85619,1-10,1-10
85620,101-500,191
85621,Greater Than 1000,3990
85622,101-500,304
85623,101-500,417
85624,11-100,61
85625,11-100,84
85626,101-500,160
85629,Greater Than 1000,3049
85630,101-500,159
85631,101-500,321
85632,11-100,35
85633,1-10,1-10
85634,Greater Than 1000,1159
85635,Greater Than 1000,2609
85637,11-100,41
85638,101-500,119
85639,11-100,37
85640,1-10,1-10
85641,Greater Than 1000,2137
85643,Greater Than 1000,1024
85645,101-500,208
85646,11-100,81
85648,Greater Than 1000,3636
85650,501-1000,888
85653,Greater Than 1000,1498
85658,501-1000,966
85701,501-1000,586
85704,Greater Than 1000,2881
85705,Greater Than 1000,6680
85706,Greater Than 1000,10567
85707,11-100,66
85708,101-500,139
85710,Greater Than 1000,5268
85711,Greater Than 1000,4218
85712,Greater Than 1000,3438
85713,Greater Than 1000,7294
85714,Greater Than 1000,2621
85715,Greater Than 1000,1569
85716,Greater Than 1000,2647
85718,Greater Than 1000,1834
85719,Greater Than 1000,5938
85730,Greater Than 1000,3430
85735,Greater Than 1000,1097
85736,101-500,350
85737,Greater Than 1000,1526
85739,501-1000,985
85741,Greater Than 1000,3344
85742,Greater Than 1000,2367
85743,Greater Than 1000,2425
85745,Greater Than 1000,4008
85746,Greater Than 1000,7527
85747,Greater Than 1000,2288
85748,Greater Than 1000,1565
85749,Greater Than 1000,1298
85750,Greater Than 1000,1541
85755,501-1000,961
85756,Greater Than 1000,8239
85757,Greater Than 1000,3918
85901,Greater Than 1000,1763
85911,0,0
85911 Tribal,Data Suppressed,Data Suppressed
85920,11-100,31
85922,0,0
85923,11-100,22
85924,101-500,112
85925,101-500,351
85926 Tribal,Data Suppressed,Data Suppressed
85927,11-100,12
85928,11-100,44
85929,501-1000,641
85930 Tribal,Data Suppressed,Data Suppressed
85931,1-10,1-10
85932,1-10,1-10
85933,101-500,258
85934,11-100,38
85935,101-500,350
85936,101-500,288
85937,501-1000,801
85938,101-500,217
85939,101-500,398
85940,11-100,72
85941 Tribal,Data Suppressed,Data Suppressed
85942,1-10,1-10
86001,Greater Than 1000,4438
86004,Greater Than 1000,4529
86005,Greater Than 1000,1488
86015,101-500,109
86016,0,0
86016 Tribal,Data Suppressed,Data Suppressed
86017,11-100,90
86018,11-100,77
86020,0,0
86020 Tribal,Data Suppressed,Data Suppressed
86021,101-500,255
86022,101-500,168
86023,101-500,202
86024,11-100,79
86025,501-1000,702
86029,101-500,110
86030 Tribal,Data Suppressed,Data Suppressed
86032,101-500,156
86033,0,0
86033 Tribal,Data Suppressed,Data Suppressed
86034 Tribal,Data Suppressed,Data Suppressed
86035,0,0
86035 Tribal,Data Suppressed,Data Suppressed
86036,1-10,1-10
86038,1-10,1-10
86040,Greater Than 1000,1537
86042,0,0
86042 Tribal,Data Suppressed,Data Suppressed
86043,0,0
86043 Tribal,Data Suppressed,Data Suppressed
86044,0,0
86044 Tribal,Data Suppressed,Data Suppressed
86045,1-10,1-10
86045 Tribal,Data Suppressed,Data Suppressed
86046,501-1000,578
86047,Greater Than 1000,2842
86052,1-10,1-10
86053 Tribal,Data Suppressed,Data Suppressed
86054,0,0
86054 Tribal,Data Suppressed,Data Suppressed
86301,Greater Than 1000,2204
86303,Greater Than 1000,1199
86305,Greater Than 1000,1497
86314,Greater Than 1000,3508
86315,501-1000,629
86320,101-500,104
86321,101-500,190
86322,Greater Than 1000,1187
86323,Greater Than 1000,1100
86324,101-500,387
86325,101-500,381
86326,Greater Than 1000,2510
86327,501-1000,799
86329,11-100,61
86331,11-100,34
86332,11-100,49
86333,101-500,332
86334,101-500,284
86335,101-500,383
86336,501-1000,717
86337,11-100,52
86338,11-100,22
86343,1-10,1-10
86351,101-500,392
86401,Greater Than 1000,3012
86403,Greater Than 1000,2180
86404,Greater Than 1000,1930
86406,Greater Than 1000,2881
86409,Greater Than 1000,2490
86411,1-10,1-10
86413,Greater Than 1000,1285
86426,Greater Than 1000,1746
86429,501-1000,711
86432,101-500,233
86433,1-10,1-10
86434,1-10,1-10
86434 Tribal,Data Suppressed,Data Suppressed
86435,0,0
86435 Tribal,Data Suppressed,Data Suppressed
86436,101-500,154
86437,1-10,1-10
86438,11-100,51
86440,Greater Than 1000,1016
86441,11-100,51
86442,Greater Than 1000,4071
86443,1-10,1-10
86444,11-100,60
86445,11-100,12
86502,101-500,497
86502 Tribal,Data Suppressed,Data Suppressed
86503,0,0
86503 Tribal,Data Suppressed,Data Suppressed
86505,101-500,137
86505 Tribal,Data Suppressed,Data Suppressed
86507,0,0
86507 Tribal,Data Suppressed,Data Suppressed
86510 Tribal,Data Suppressed,Data Suppressed
86511,1-10,1-10
86511 Tribal,Data Suppressed,Data Suppressed
86514,0,0
86514 Tribal,Data Suppressed,Data Suppressed
86515,0,0
86515 Tribal,Data Suppressed,Data Suppressed
86538 Tribal,Data Suppressed,Data Suppressed
86556 Tribal,Data Suppressed,Data Suppressed